,school_id,long_name,school_type,beginning_year,student_growth_rating,student_attainment_rating,culture_climate_rating,school_survey_student_response_rate_pct,school_survey_teacher_response_rate_pct,creative_school_certification,school_survey_involved_families,school_survey_supportive_environment,school_survey_ambitious_instruction,school_survey_effective_leaders,school_survey_collaborative_teachers,school_survey_safety,suspensions_per_100_students_year_2_pct,misconducts_to_suspensions_year_2_pct,average_length_suspension_year_2_pct,school_survey_school_community,school_survey_parent_teacher_partnership,school_survey_quality_of_facilities,student_attendance_year_2_pct,teacher_attendance_year_2_pct,one_year_dropout_rate_year_2_pct,freshmen_on_track_school_pct_year_2,graduation_4_year_school_pct_year_2,graduation_5_year_school_pct_year_2,sat_grade_11_score_school,growth_act_sat_grade_11_pct,attainment_act_sat_grade_11_pct,college_enrollment_school_pct_year_2,college_persistence_school_pct_year_2,mobility_rate_pct,chronic_truancy_pct,dress_code,school_hours,after_school_hours,classroom_languages,bilingual_services,refugee_services,hard_of_hearing,visual_impairments,transportation_bus,transportation_el,transportation_metra,overall_rating,rating_status,network,is_gocps_participant,student_count_total,student_pct_low_income,student_pct_special_ed,student_pct_english_learners,student_pct_black,student_pct_hispanic,student_pct_white,student_pct_asian,student_pct_native_american,student_pct_other_ethnicity,student_pct_asian_pacific_islander,student_pct_multi,student_pct_hawaiian_pacific_islander,student_pct_ethnicity_not_available
223,400157,Noble - Baker College Prep,Charter,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,51.2,77.3,,STRONG,VERY STRONG,STRONG,NEUTRAL,STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,71.2,,1.4,72.5,81.1,72.0,858.0,,8.1,81.8,70.2,9.7,63.1,True,"Mon - Thurs 7:45 am - 3:30 pm, Fri 7:45am- 1:15 pm",3:30 pm - 5:00 pm,"Spanish, Spanish for Heritage Speakers",False,False,False,False,"30, 87, 95",Red,Metra Electric District (ME),Level 2+,NOT APPLICABLE,Charter,True,271,0.7785977859778598,0.23616236162361623,0.0996309963099631,0.8118081180811808,0.16605166051660517,0.0,0.0036900369003690036,0.0,0.0,0.0,0.01107011070110701,0.0,0.007380073800738007
224,400170,Noble - The Noble Academy,Charter,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,56.0,80.0,,STRONG,VERY STRONG,NEUTRAL,NEUTRAL,STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,75.3,,1.0,74.1,86.1,88.3,921.0,,21.6,79.8,72.1,2.6,64.0,True,8:30 AM - 4:00 PM,4:10 PM - 6:00 PM,Russian,True,True,False,False,"8, 64, 70, 156, 37","Brown, Purple, Red",None,Level 1+,NOT APPLICABLE,Charter,True,595,0.7697478991596639,0.1361344537815126,0.16974789915966387,0.426890756302521,0.507563025210084,0.011764705882352941,0.031932773109243695,0.0016806722689075631,0.0,0.0,0.015126050420168067,0.0,0.005042016806722689
225,400086,Urban Prep Academy for Young Men - Englewood,Charter,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,78.6,99.9,,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,80.0,,1.8,81.8,86.8,77.8,802.0,,4.7,50.0,63.4,5.9,59.7,True,8:30 AM-4:30 PM,4:30 PM-6:30PM,Spanish,False,False,False,False,"3, 4, 8, 9, 24, 44, 63","Green, Red",None,Level 2,NOT APPLICABLE,Charter,True,159,0.89937106918239,0.25157232704402516,0.012578616352201259,0.9622641509433962,0.012578616352201259,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.012578616352201259
226,609712,Emil G Hirsch Metropolitan High School,Neighborhood,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,ORGANIZED,12.9,72.2,,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,58.3,82.0,27.8,71.4,44.7,63.0,736.0,,0.0,27.3,,34.8,71.9,False,9:00 AM - 4:01 PM,4:01 PM -6:00 PM,Spanish,False,False,False,False,None,"Blue, Green",Metra Electric District (ME),Level 2,INTENSIVE SUPPORT,Network 17,True,98,0.6530612244897959,0.29591836734693877,0.0,0.9693877551020408,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306
227,610543,Eric Solorio Academy High School,Neighborhood,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,79.9,67.0,,STRONG,STRONG,NEUTRAL,STRONG,STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,83.6,89.7,1.0,74.2,81.8,88.6,935.0,,30.7,68.9,68.6,5.7,46.9,True,"M, T, Th, F 8:00  AM - 3:23  PM; W 8:00 AM - 2:20",3:23-6:00,"Spanish, Spanish for Heritage Speakers",True,False,False,False,"52, 52A, 55",Orange,None,Level 1,GOOD STANDING,AUSL,True,1225,0.9053061224489796,0.11918367346938775,0.24081632653061225,0.010612244897959184,0.9714285714285714,0.008979591836734694,0.004081632653061225,0.0024489795918367346,0.0,0.0,0.0024489795918367346,0.0,0.0
228,609724,Stephen T Mather High School,Neighborhood,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,ORGANIZED,36.8,83.3,,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,83.0,87.0,2.4,80.8,69.7,83.8,907.0,,23.4,72.5,74.8,5.2,48.3,False,8:00  AM to 3:16 PM,3:16 PM to 6:00 PM,"French, Spanish, Spanish for Heritage Speakers",True,True,False,False,"11, 84, 93","Brown, Red",None,Level 1,GOOD STANDING,Network 14,True,1642,0.7990255785627284,0.16017052375152252,0.35505481120584653,0.15164433617539586,0.48416565164433617,0.13215590742996347,0.21010962241169306,0.0036540803897685747,0.0,0.0,0.015225334957369063,0.0030450669914738123,0.0
229,400062,Perspectives - High School of Technology,Charter,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,81.4,96.2,,STRONG,STRONG,STRONG,STRONG,STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,79.6,,7.0,73.7,79.1,78.9,835.0,,8.0,46.4,51.0,4.0,58.2,True,8:00 AM-3:20 PM,3:30 PM - 5:00 PM,Spanish,True,False,False,False,"44, 75",Red,None,Level 2+,NOT APPLICABLE,Charter,True,360,0.8694444444444445,0.16111111111111112,0.008333333333333333,0.9777777777777777,0.013888888888888888,0.0,0.002777777777777778,0.0,0.0,0.0,0.002777777777777778,0.0,0.002777777777777778
230,609693,George Westinghouse College Prep,Selective enrollment,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,WELL ORGANIZED,57.3,62.2,,VERY STRONG,VERY STRONG,STRONG,STRONG,STRONG,NOT ENOUGH DATA,0.0,1.1,1.7,,,,83.4,82.4,0.6,96.5,91.6,92.5,984.0,,45.2,86.2,81.2,1.6,48.7,False,8:00 AM-3:15 PM,3:15 PM -6:00 PM,"Chinese, French, Spanish",False,False,False,False,"52, 82",Green,Union Pacific West (UP-W),Level 1+,GOOD STANDING,Network 15,True,1200,0.77,0.08,0.04833333333333333,0.4608333333333333,0.42,0.024166666666666666,0.07,0.0033333333333333335,0.0,0.0,0.015,0.004166666666666667,0.0025
231,609704,David G Farragut Career Academy High School,Neighborhood,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,MODERATELY ORGANIZED,43.4,64.2,,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,0.0,1.1,1.7,,,,70.3,80.2,6.4,89.0,64.2,65.9,815.0,,2.2,45.2,54.9,12.7,65.3,True,8:30  AM - 3:45  PM,Main Office: Open Until 4:15 p.m.,"Spanish, Spanish for Heritage Speakers",True,False,False,False,"21, 52, 82",Pink,None,Level 2+,GOOD STANDING,Network 16,True,443,0.9548532731376975,0.27765237020316025,0.33860045146726864,0.12415349887133183,0.8600451467268623,0.011286681715575621,0.002257336343115124,0.002257336343115124,0.0,0.0,0.0,0.0,0.0
232,610518,Austin College and Career Academy High School,Small,2021,NO DATA AVAILABLE,NO DATA AVAILABLE,PARTIALLY ORGANIZED,17.8,71.4,,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,0.0,1.1,1.7,,,,40.7,83.2,5.0,58.3,62.7,68.0,758.0,,1.6,30.0,,13.6,80.6,False,"8:40 AM - 3:53 PM (M,T,Th, F)   8:40AM - 3:01 (W)",4:00 PM - 7:00 PM,Spanish,True,False,False,False,"20, 57, 85",Green,None,Level 2,INTENSIVE SUPPORT,Network 15,True,161,0.8260869565217391,0.2981366459627329,0.018633540372670808,0.9440993788819876,0.043478260869565216,0.012422360248447204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
